date,temp_f,time,temperature_2m
2026-07-27,85.1,2026-07-26T22:45,29.5
2026-07-27,79.5,2026-07-27T03:45,26.4
2026-07-27,94.5,2026-07-27T10:45,34.7
2026-07-28,82.0,2026-07-28T00:45,27.8
2026-07-28,88.7,2026-07-28T10:00,31.5
2026-07-29,81.5,2026-07-29T01:00,27.5
2026-07-29,97.9,2026-07-29T13:30,36.6
2026-07-30,85.3,2026-07-29T22:30,29.6
2026-08-05,88.7,2026-08-04T20:45,31.5
2026-08-05,88.2,2026-08-05T10:00,31.2
2026-08-06,82.9,2026-08-06T00:45,28.3
2026-08-07,83.8,2026-08-06T22:00,28.8
2026-08-07,81.7,2026-08-07T03:15,27.6
2026-08-07,96.3,2026-08-07T16:45,35.7
2026-08-08,81.7,2026-08-08T07:00,27.6
2026-08-08,95.0,2026-08-08T11:00,35.0
2026-08-08,100.2,2026-08-08T16:00,37.9
2026-08-09,84.6,2026-08-09T02:15,29.2
2026-08-09,98.1,2026-08-09T16:00,36.7
2026-08-10,81.7,2026-08-10T03:45,27.6
2026-08-10,87.4,2026-08-10T08:30,30.8
2026-08-10,96.8,2026-08-10T12:45,36.0
2026-08-10,94.5,2026-08-10T16:45,34.7
2026-08-11,79.0,2026-08-11T03:00,26.1
2026-08-11,85.6,2026-08-11T08:30,29.8
2026-08-11,88.9,2026-08-11T13:00,31.6
2026-08-12,89.6,2026-08-11T17:00,32.0
2026-08-12,78.1,2026-08-12T03:30,25.6
2026-08-12,90.5,2026-08-12T13:00,32.5
2026-08-13,88.5,2026-08-12T17:00,31.4
2026-08-13,73.0,2026-08-13T03:30,22.8
2026-08-13,75.0,2026-08-13T08:30,23.9
